経営重要度: 本部・オーナー視点,,,,,独自レベル,ランク,データスコープ,計算レイヤー,,,判断基準,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,正規化,L0:標準指標(外部データ）,S:最重要(ダッシュボード最上位表示・経営会議必須項目,単一レコード,L0：データ取得層（演算なし）,,,収益性・投資回収に直結、取締役会/オーナー報告必須,,,,,,,,,,,,,,,,,,,,,,負荷レベル,,,◎ 必須,,,,,,,
,,,,正規化,L1:標準演算指標（画面内、設定×演算、標準四則演算）,A:重要(主要KPIとして定期確認,店舗月次（１店舗のみ）,L1：単純演算層,,,月次業績報告の主要KPI、全店舗比較の基準,,,,,,,,,,,,,,,,,,,,,,低:単一データソース・演算なし,,,○ 推奨,,,,,,,
,,,,正規化,L2:ラクミー設定指標（ユーザー入力、マスタデータ）,B:準重要(ドリルダウン分析・月次レビュー,店舗ラベル別,L2-C：画面内演算層（全店舗）,,,予実管理・進捗管理の対象、店舗評価指標,,,,,,,,,,,,,,,,,,,,,,中:単純演算・単一外部連携,,,△ 検討,,,,,,,
,,,,スナップショット対象,L3:ラクミー演算指標（ラベル、費目、独自分類演算）,C:一般(一般的な管理指標・設定値,全店舗,L2-L：画面内演算層（店舗ラベル別）,,,マスタデータ、設定値、ラベル情報,,,,,,,,,,,,,,,,,,,,,,高:画面間参照・複数外部連携,,,× 不要,,,,,,,
,,,,スナップショット対象,L4:ラクミー高度指標（月次予算設定、感度分析、流入分析など）,D:参考(詳細確認時のみ）,全店舗月次,L3-C：画面間演算層（全店舗）,,,詳細分析・原因究明に使用、定期確認不要,,,,,,,,,,,,,,,,,,,,,,最高:複合演算・集計処理・多段階計算,,,,,,,,,,
,,,,,,,全店舗年次,L3-L：画面間演算層（店舗ラベル別）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,基本情報,,,,分類重要度,,,,,データソース,,,演算、ロジック,,データリネージュ,,,,,,,,,,,,,,,データ負荷,,,,,システム設計,,,,,,,,
No,プロダクト区分,画面タイプ,画面タイトル,指標名,独自指標レベル,経営重要度,データスコープ,計算レイヤー,演算範囲,データソース区分,指標タイプ,指標タイプ詳細,演算ロジック,演算式詳細,中間画面名.画面指標名,ラクミーテーブル名.カラム名,外部連携テーブル名.テーブル列名,外部連携グループ名,インプット元（画面名.指標名）,アウトプット先（画面名.画面指標名）,データリネージュ（完全版）,機能説明,判断,AI推測の理由,不明点,改善,画面カテゴリ,指標区分,指標区分の説明,参照頻度,演算コスト,システム負荷,データ負荷レベル,負荷要因,推奨対応,スナップショット対象,キャッシュ戦略,更新トリガー,依存先指標数,被参照指標数,依存先指標（画面名.指標名）,依存先指標（テーブル名.列名）,被参照指標（画面名.指標名）
1,ラクミーウェブ（会社）,設定入力画面,ユーザー,ラクミーID,L2,D,単一レコード,L0,-,ユーザーマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,users.id,-,users.id,-,マスタ参照,-,-,users.id → ユーザー.ラクミーID,本部ユーザーの管理設定,設定/入力検証済,データソース: ユーザーマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するユーザー設定値,低,中,中,低,-,監視継続,×,短期キャッシュ(1-5分),ユーザー操作時,0,0,-,-; users.id,-
2,ラクミーウェブ（会社）,設定入力画面,ユーザー,氏名,L0,D,単一レコード,L0,-,ユーザーマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,users.name,-,users.name,-,ユーザー入力（ユーザー設定）,-,-,users.name → ユーザー.氏名,本部ユーザーの管理設定,設定/入力検証済,データソース: ユーザーマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するユーザー設定値,低,中,中,低,-,監視継続,×,短期キャッシュ(1-5分),ユーザー操作時,0,0,-,-; users.name,-
3,ラクミーウェブ（会社）,設定入力画面,ユーザー,電話番号,L1,D,単一レコード,L0,-,ユーザーマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,users.phone_number,-,users.phone_number,-,ユーザー入力（ユーザー設定）,-,-,users.phone_number → ユーザー.電話番号,本部ユーザーの管理設定,設定/入力検証済,データソース: ユーザーマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するユーザー設定値,低,中,中,低,-,監視継続,×,短期キャッシュ(1-5分),ユーザー操作時,0,0,-,-; users.phone_number,-
4,ラクミーウェブ（会社）,設定入力画面,ユーザー,ユーザー識別（本部、一般）,L1,D,単一レコード,L0,-,ユーザーマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,users.role,-,users.role,-,ユーザー入力（ユーザー設定）,-,-,users.role → ユーザー.ユーザー識別（本部、一般）,本部ユーザーの管理設定,設定/入力検証済,データソース: ユーザーマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するユーザー設定値,低,中,中,低,-,監視継続,×,短期キャッシュ(1-5分),ユーザー操作時,0,0,-,-; users.role,-
5,ラクミーウェブ（会社）,設定入力画面,ユーザー,ステータス,L0,D,単一レコード,L0,-,ユーザーマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,フラグ,users.status,-,users.status,-,ユーザー入力（ユーザー設定）,-,-,users.status → ユーザー.ステータス,本部ユーザーの管理設定,設定/入力検証済,データソース: ユーザーマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するユーザー設定値,低,中,中,低,-,監視継続,×,短期キャッシュ(1-5分),ユーザー操作時,0,0,-,-; users.status,-
6,ラクミーウェブ（会社）,設定入力画面,ラベル設定（ラベル）,ラベルID,L2,D,単一レコード,L0,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,labels.id,-,labels.id,-,ユーザー入力（ラベル設定）,-,-,labels.id → ラベル設定（ラベル）.ラベルID,店舗ラベル（グルーピングタグ）を作成。店舗ラベル別サマリーでの集計ディメンションに使用,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,低,-,監視継続,×,短期キャッシュ(1-5分),ユーザー操作時,0,0,-,-; labels.id,-
7,ラクミーウェブ（会社）,設定入力画面,ラベル設定（ラベル）,ラベル名,L2,D,単一レコード,L0,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,labels.name,-,labels.name,-,ユーザー入力（ラベル設定）,-,-,labels.name → ラベル設定（ラベル）.ラベル名,店舗ラベル（グルーピングタグ）を作成。店舗ラベル別サマリーでの集計ディメンションに使用,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,低,-,監視継続,×,短期キャッシュ(1-5分),ユーザー操作時,0,0,-,-; labels.name,-
8,ラクミーウェブ（会社）,設定入力画面,ラベル設定（ラベル）,棚卸し,L2,D,単一レコード,L0,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,フラグ,labels.is_inventory,-,labels.is_inventory,-,ユーザー入力（ラベル設定）,-,-,labels.is_inventory → ラベル設定（ラベル）.棚卸し,店舗ラベル（グルーピングタグ）を作成。店舗ラベル別サマリーでの集計ディメンションに使用,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,低,-,監視継続,×,短期キャッシュ(1-5分),ユーザー操作時,0,0,-,-; labels.is_inventory,-
9,ラクミーウェブ（会社）,設定入力画面,ラベル設定（ラベル）,ステータスフラグ,L2,D,単一レコード,L0,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,フラグ,labels.status,-,labels.status,-,ユーザー入力（ラベル設定）,-,-,labels.status → ラベル設定（ラベル）.ステータスフラグ,店舗ラベル（グルーピングタグ）を作成。店舗ラベル別サマリーでの集計ディメンションに使用,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,低,-,監視継続,×,短期キャッシュ(1-5分),ユーザー操作時,0,0,-,-; labels.status,-
10,ラクミーウェブ（会社）,設定入力画面,ラベル設定（店舗リスト）,店舗ID,L2,D,単一レコード,L0,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.id,-,shops.id,-,マスタ参照,-,-,shops.id → ラベル設定（店舗リスト）.店舗ID,店舗名に店舗ラベル（グルーピングタグ）を紐付け。売上・コスト等の集計ディメンションとして活用,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,低,-,監視継続,×,短期キャッシュ(1-5分),ユーザー操作時,0,0,-,-; shops.id,-
11,ラクミーウェブ（会社）,設定入力画面,ラベル設定（店舗リスト）,店舗名,L2,D,単一レコード,L0,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.name,-,shops.name,-,マスタ参照,-,-,shops.name → ラベル設定（店舗リスト）.店舗名,店舗名に店舗ラベル（グルーピングタグ）を紐付け。売上・コスト等の集計ディメンションとして活用,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,低,-,監視継続,×,短期キャッシュ(1-5分),ユーザー操作時,0,0,-,-; shops.name,-
12,ラクミーウェブ（会社）,設定入力画面,ラベル設定（店舗リスト）,ラベル名,L3,C,単一レコード,L0,-,ラベルマスタ（設定）,ユーザー入力単独,店舗に店舗ラベル（グルーピングタグ）を紐付け。店舗ラベル別サマリーでのグルーピング集計に活用,マスタ参照,shop_labels.label_name,-,shop_labels.label_name,-,-,ラベル設定（ラベル）.ラベル名; 店舗管理.店舗名,店舗ラベル別サマリー（売上・営業利益・各種比率のラベル別集計）,shop_labels.label_name → ラベル設定（店舗リスト）.ラベル名 → 店舗ラベル別サマリー,店舗名に店舗ラベル（グルーピングタグ）を紐付け。売上・コスト等の集計ディメンションとして活用,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,店舗ラベル設定（店舗のグルーピング）,低,中,中,低,-,監視継続,×,短期キャッシュ(1-5分),ユーザー操作時,2,0,ラベル設定（ラベル）.ラベル名; 店舗管理.店舗名,shop_labels.label_name; -,店舗ラベル別サマリー（売上・営業利益・各種比率のラベル別集計）
13,ラクミーウェブ（会社）,設定入力画面,ラベル設定（店舗リスト）,ステータスフラグ,L2,D,単一レコード,L0,-,ラベルマスタ（設定）,ユーザー入力単独,ユーザーが設定入力,フラグ,shop_labels.status,-,shop_labels.status,-,ユーザー入力（ラベル設定）,-,-,shop_labels.status → ラベル設定（店舗リスト）.ステータスフラグ,店舗名に店舗ラベル（グルーピングタグ）を紐付け。売上・コスト等の集計ディメンションとして活用,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力するラベル設定値,低,中,中,低,-,監視継続,×,短期キャッシュ(1-5分),ユーザー操作時,0,0,-,-; shop_labels.status,-
14,ラクミーウェブ（会社）,設定入力画面,店舗管理,店舗名,L0,B,単一レコード,L0,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,マスタ参照,shops.name,-,shops.name,-,ユーザー入力（店舗設定）,-,-,shops.name → 店舗管理.店舗名,店舗情報の登録・編集,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値,低,中,中,低,-,監視継続,×,短期キャッシュ(1-5分),ユーザー操作時,0,0,-,-; shops.name,-
