UIカスタマイズ仕様書 V41
作成日: 2025年12月09日

■ カスタマイズ可否別 分布

カスタマイズ可否,会社画面,店舗画面,合計,説明
固定表示,59件,141件,200件,経営判断に必須のため常時表示（S/A重要度）
表示切替可,108件,306件,414件,ON/OFF切替可能（C重要度）
カスタマイズ可,20件,35件,55件,表示順序変更・お気に入り登録可能（B重要度）
設定のみ,21件,74件,95件,設定画面でのみ表示（D重要度・設定入力画面）

■ 指標タイプ別 分布

指標タイプ,会社画面,店舗画面,合計,説明
ベース指標,89件,147件,236件,外部連携から直接取得（売上税抜、客数等）
ディメンション,7件,11件,18件,マスタ/軸データ（店舗名、商品名、曜日等）
既存合成（画面内）,18件,32件,50件,同一画面内の指標を演算（構成比率等）
既存合成（画面間）,66件,273件,339件,異なる画面の指標を演算（営業利益率等）
演算指標,19件,62件,81件,複数データソースの演算（FL率等）
その他,9件,31件,40件,上記に分類されない指標

■ インプット元数別 分布（ディメンション数）

インプット元数,会社画面,店舗画面,合計,複雑度
なし,23件,85件,108件,単純（外部連携直接）
1個,142件,355件,497件,低（単一参照）
2個,35件,100件,135件,中（2要素演算）
3個以上,8件,16件,24件,高（複合演算）

■ 新指標候補（独自度L4b: ラクミー独自の最高独自度）

画面区分,画面タイトル,指標名,経営重要度,演算ロジック
会社,主要KPI指標,営業利益率,S,営業利益÷売上×100
会社,主要KPI指標,ROI,S,営業利益÷投資×100
会社,平均単価推移,平均単価推移(6ヶ月),C,直近6ヶ月の平均単価推移
会社,平均単価推移,平均単価推移(12ヶ月),C,直近12ヶ月の平均単価推移
会社,平均単価推移,平均単価推移,C,期間集計トレンド計算
会社,進捗分析,利益進捗率,B,営業利益累計÷目標利益×100
会社,主要KPI指標,利益進捗率,B,進捗分析.利益進捗率から参照
会社,当月実績,営業利益率,S,主要KPI指標.営業利益率から参照
会社,当月実績,ROI,S,主要KPI指標.ROIから参照
会社,当月実績,利益進捗率,B,進捗分析.利益進捗率から参照
会社,店舗別サマリー,営業利益率,S,主要KPI指標.営業利益率から参照
会社,店舗別サマリー,ROI,S,主要KPI指標.ROIから参照
会社,店舗別サマリー,利益進捗率,B,進捗分析.利益進捗率から参照
会社,時間帯別売上分析,営業利益率,S,主要KPI指標.営業利益率から参照
会社,時間帯別売上分析,ROI,S,主要KPI指標.ROIから参照
店舗,主要KPI指標,営業利益率,S,営業利益÷売上×100
店舗,主要KPI指標,ROI,B,営業利益÷投資×100
店舗,主要KPI指標(ダッシュボード上部),営業利益率,S,営業利益÷売上×100
店舗,主要KPI指標(ダッシュボード上部),ROI,B,営業利益÷投資×100
店舗,平均単価推移,平均単価推移,C,期間集計トレンド計算
店舗,利益進捗分析,利益進捗率,B,営業利益累計÷目標利益×100
店舗,利益進捗分析,利益進捗率比較(前月),B,営業利益÷目標利益×100(前月比)
店舗,利益進捗分析,利益進捗率比較(前々月),B,営業利益÷目標利益×100(前々月比)
店舗,利益進捗分析,利益達成率,A,営業利益÷目標利益×100
店舗,FD仕入率トレンド,直近6ヶ月,C,6ヶ月推移
店舗,FD仕入率トレンド,直近12ヶ月,C,12ヶ月推移
店舗,流入分析,予約客単価,A,予約売上÷予約客数
店舗,流入分析,ウォークイン客単価,A,WI売上÷WI客数
店舗,流入分析,ウォークイン客数トレンド,A,期間集計トレンド計算
店舗,流入分析,平均回転数,C,AVG回転数
... 他 20 件

■ カスタマイズ可否別 UI実装ガイド

カスタマイズ可否,対象指標例,表示設定,デフォルト,UI表現,実装詳細
固定表示,営業利益率・FL率・売上税抜・客数,ユーザーが非表示にできない,常時ON,設定画面でグレーアウト,経営判断に必須のため常時表示
表示切替可,商品別売上・支払種別・時間帯別,ON/OFF切替可能,表示ON,トグルスイッチ,詳細データの表示/非表示を切替
カスタマイズ可,坪月商・達成率・ROI・進捗率,ON/OFF + 表示順序変更,表示ON（推奨）,ドラッグ&ドロップで並び替え,お気に入り登録・ダッシュボード追加可能
設定のみ,店舗マスタ・費目・予算設定,分析画面には非表示,設定画面のみ,設定画面でのみ表示,分析ダッシュボードには表示しない

■ 経営重要度別 色分け（視点別定義）

経営重要度,会社画面（本部・オーナー視点）,店舗画面（店長視点）,推奨カラー
S,最重要（経営判断直結）,最重要（日次確認必須）,#E53935 (赤)
A,重要（業績管理必須）,重要（週次確認推奨）,#FB8C00 (オレンジ)
B,標準（管理対象）,標準（月次確認）,#1E88E5 (青)
C,参考（分析用）,参考（必要時確認）,#757575 (グレー)
D,補助（マスタ/設定）,補助（設定/入力）,#BDBDBD (薄グレー)
