No,ターゲット,カテゴリ,指標名,次数,確認頻度,用途・利用シーン,概念式,詳細計算ロジック,参照ラクミー1-3次データ,判断基準・閾値目安,関連画面,備考
ST-01,店長,売上構造,平日/休日売上比率,4次,週次,曜日別売上パターン把握、シフト設計,平日平均日商 ÷ 休日平均日商,曜日カレンダー連動で平日(月-木)/休日(金-日祝)に分類,"POS日別売上(1次), 曜日情報(計算済)",0.5-0.7:居酒屋標準 / 0.8超:平日型業態,曜日別売上分析,休日の定義は業態依存
ST-02,店長,売上構造,ランチ/ディナー売上比率,4次,日次,時間帯別業態特性の確認,ランチ帯売上 ÷ ディナー帯売上,ランチ:11-14時、ディナー:17-23時で集計,POS時間帯別売上(1次),居酒屋0.1-0.3 / 定食屋1.0前後,時間帯別売上分析,時間区分は店舗で要定義
ST-03,店長,売上構造,フード/ドリンク比率,4次,日次,商品ミックス把握、仕入計画の精度向上,フード売上 ÷ ドリンク売上,税抜ベースで算出,"POSフード売上(2次), POSドリンク売上(2次)",居酒屋2:1 / レストラン4:1 / バー1:2,FD分析（売上構成比）,既存指標あり
ST-04,店長,売上構造,その他売上比率,4次,日次,サービス料・チャージ料等の貢献度,その他売上 ÷ 総売上 × 100,サービス料、席料、スペシャルチャージ等,"POSその他売上(2次), 総売上(2次)",10%前後が標準,FD分析（売上構成比）,チャージ制店舗で重要
ST-05,店長,売上構造,時間帯別売上構成比,4次,日次,ピーク時間の把握、シフト最適化,時間帯別売上 ÷ 日次総売上 × 100,2時間刻みで6時間帯,POS時間帯別売上(1次),ディナー帯60%超:標準,時間帯別売上分析,既存
ST-06,店長,売上構造,曜日別売上構成比,4次,週次,曜日別特性の把握,曜日別売上 ÷ 週次総売上 × 100,7曜日で算出,POS曜日別売上(1次),金土曜40%超:標準的居酒屋,曜日別売上分析,既存
ST-07,店長,売上構造,支払方法別構成比,4次,週次,キャッシュレス比率把握,支払種別別売上 ÷ 総売上 × 100,現金/クレジット/電子マネー/QR別,POS支払種別売上(2次),キャッシュレス70%超:DX進展,支払種別売上分析,手数料計算にも使用
ST-08,店長,売上構造,客単価帯別構成,4次,週次,価格帯セグメント把握,客単価帯別来店数 ÷ 総来店数,"4,000円未満/4-6千/6-8千/8千以上 等で区切り",POS客単価(2次),狙いの価格帯の達成状況確認,ABC分析,業態設計の検証
ST-10,店長,売上構造,7日移動平均売上,4次,日次,短期トレンド把握、曜日効果の平滑化,直近7日の売上平均,日次で更新、折れ線グラフ推奨,POS日別売上(1次),上昇トレンド:成長中 / 下降:要対策,売上進捗分析,前年同期と比較推奨
ST-19,店長,在庫管理,食材別在庫回転率,4次,週次,在庫効率、鮮度管理,期間内食材使用量 ÷ 平均在庫量,食材別(肉/魚/野菜/加工)で算出,"仕入金額(2次), 棚卸金額(3次)",生鮮15回/月以上 / 乾物2回/月以上,"棚卸, FD分析（仕入率/原価率）",既存データで算出可能
ST-20,店長,在庫管理,食材別在庫残日数,4次,週次,発注タイミングの最適化,期末在庫 ÷ 日次使用量,食材別、店舗別,"棚卸金額(3次), 仕入金額(2次)",3-7日:適正 / 10日超:過剰 / 2日未満:欠品リスク,"棚卸, 棚卸詳細",既存データで算出
ST-21,店長,仕入管理,仕入先別単価変動,4次,月次,値上げ検知、発注先見直し,前月 vs 当月 仕入先別平均単価変化率,仕入先×商品マトリクス,"商品仕入単価(2次:商品仕入単価), 仕入先(1次)",+3%超:要確認 / +5%超:発注先変更検討,"商品仕入単価, 平均単価推移",既存指標あり
ST-22,店長,仕入管理,仕入先別取引シェア,4次,月次,仕入先依存度、交渉力,仕入先別仕入金額 ÷ 総仕入金額 × 100,BCP観点で分散リスク把握,"商品別仕入(2次), 仕入先(1次)",1社50%超:集中リスク,仕入先分析,リスク分散の材料
ST-23,店長,仕入管理,商品別仕入頻度,4次,月次,発注サイクル最適化,商品別仕入回数 ÷ 営業日数,鮮度保持と欠品防止のバランス,"商品別仕入(2次), 営業日数(1次)",生鮮0.5以上 / 乾物0.1以下,商品別仕入分析,リードタイムと組合せ
ST-25,店長,仕入管理,納品リードタイム,4次,月次,仕入先の納期精度、発注計画最適化,平均(納品日 - 発注日),仕入先別に算出,"発注書(1次), 納品書(1次)",契約内:健全 / 超過:要交渉,"発注書一覧, 納品書管理",交渉材料
ST-28,店長,客数分析,時間帯別テーブル回転率,4次,日次,時間帯別の席効率,時間帯別客数 ÷ 席数 ÷ 時間帯時間,ランチ/ディナーでそれぞれ算出,"客数(1次), 席数(マスタ要追加), 時間帯(1次)",ランチ1.5以上/ディナー2.0以上,時間帯別売上分析,席数マスタ必要
ST-29,店長,客数分析,曜日別稼働率,4次,週次,曜日別集客力、シフト最適化,曜日別客数 ÷ 最大客数 × 100,週最大客数を100として相対化,"客数(1次), 曜日(計算済)",金土で80%以上:健全,曜日別売上分析,曜日特性の評価
ST-33,店長,人件費,時間帯別人件費率,4次,日次,シフト設計の効率性,時間帯別人件費 ÷ 時間帯別売上 × 100,アイドル時間の人員削減候補,"人件費(2次), 時間帯別売上(1次)",30%以下:優良 / 40%超:要改善,時間帯別売上分析,時間帯別シフトデータ前提
ST-34,店長,人件費,PA比率,4次,月次,非正規雇用比率、固定費リスク,PA人件費 ÷ 総人件費 × 100,社員/PA/ヘルプの構成,"固定人件費(2次), PA人件費(2次)",50-70%:標準 / 90%超:リスク,PA人件費率分析,雇用リスク管理
ST-35,店長,人件費,ヘルプ依存度,4次,月次,応援人件費の恒常化チェック,ヘルプ人件費 ÷ 総人件費 × 100,一時的か恒常的かの判断,"ヘルプ人件費(2次), 総人件費(3次)",5%以下:健全 / 15%超:採用増強,PA人件費率分析,既存指標あり
ST-36,店長,人件費,人時売上推移(3ヶ月),4次,月次,労働生産性の中期トレンド,3ヶ月間の人時売上高の推移,月次で折れ線グラフ,"売上(2次), 人件費(2次), 労働時間(要追加)",上昇トレンド:改善中,月次集計,シフト管理連携前提
ST-37,店長,人件費,人時粗利推移(3ヶ月),4次,月次,粗利ベースの労働生産性トレンド,3ヶ月間の人時粗利の推移,人時売上高と併用,"粗利(3次), 労働時間(要追加)",上昇トレンド:改善中,月次集計,要シフト管理連携
ST-39,店長,経費分析,変動費率推移,4次,月次,コストコントロールの推移,月次変動費 ÷ 月次売上 × 100,過去6ヶ月で推移確認,"変動費(3次), 売上(2次)",安定 or 低下トレンド:健全,月次集計,目標設定の基準
ST-40,店長,経費分析,固定費率推移,4次,月次,固定費負担の推移,月次固定費 ÷ 月次売上 × 100,売上減少時の負担増に注意,"固定費(3次), 売上(2次)",安定 or 低下:健全 / 上昇:要警戒,月次集計,リスク管理
ST-41,店長,経費分析,FLR率,4次,月次,食材+人件費+地代家賃の売上比,(FD仕入 + 人件費 + 地代家賃) ÷ 売上 × 100,FL率に賃料を加えた重要KPI,"FD仕入(2次), 人件費(2次), 地代家賃(2次), 売上(2次)",65%以下:優良 / 70%超:要改善,"FD分析（仕入率/原価率）, 予実対比",既存データで算出
ST-42,店長,経費分析,水光熱費季節性,4次,月次,季節変動の把握、エネルギー効率,月次水光熱費 ÷ 売上の12ヶ月推移,夏冬の変動係数を評価,"電気代(2次), ガス代(2次), 水道代(2次)",季節変動±30%以内:標準,予実対比,省エネ効果検証
