大項目	区分	ID	名称	カテゴリ/種別	ターゲット	互換ディメン	実装ステータス	開発コスト	マッチング制限	制限補足	粒度	期間属性	スコープ	主要目的_大項目	主要目的_中項目	ユースケース	計算レイヤー	演算ロジック_詳細	データソース	依存先指標	weighted_avg_denominator	aggregable_grains	snapshot_grain	snapshot_axes	retention_period	recompute_trigger	compute_mode	freeze_condition
マッピング_2軸	商品グループ × 仕入先 × 指標	dim_product_group+dim_supplier+S252	商品グループ × 仕入先 × 販売数量	その他	店長	-	🟢 既実装	大	🔴 連携必要 / 🟡 多軸注意	発注システム連携 / 2軸クロス、行列展開コスト	product_group_id×supplier_id×metric	FLOW+FLOW+FLOW	外部×画面	仕入先分析	仕入先別構成	仕入先の集中度/分散リスク把握、調達戦略の見直し（2軸クロス分析）	L1	SUM商品別	head_office_item_sales_logs.quantity	[外部]TITEM.quantity		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	商品グループ × 仕入先 × 指標	dim_product_group+dim_supplier+SP21	商品グループ × 仕入先 × 地代家賃シミュレーション金額	その他	店長	-	🟢 既実装	大	🔴 連携必要 / 🟡 多軸注意	発注システム連携 / 2軸クロス、行列展開コスト	product_group_id×supplier_id×metric	FLOW+FLOW+FLOW	外部×画面	仕入先分析	仕入先別構成	仕入先の集中度/分散リスク把握、調達戦略の見直し（2軸クロス分析）	L1	IF(賃料体系=固定賃料) → 固定賃料 IF(変動賃料・合算) → 固定賃料 + 売上×歩合率×売上歩合対象率 IF(変動賃料・最大選択) → MAX(固定賃料, 売上×歩合率×売上歩合対象率) IF(段階別歩合・合算) → 固定賃料 + Σ段階別歩合額 IF(段階別歩合・最大選択) → MAX(固定賃料, Σ段階別歩合額) ※最低保証額を下回る場合は最低保証額を適用	-	地代家賃設定.賃料体系, 地代家賃設定.固定賃料, 地代家賃設定.歩合率, 地代家賃設定.最低保証額, 地代家賃設定.月額売上予算（シミュレーション入力）			オンデマンド	-	-	on_demand	on_demand	確定なし
マッピング_2軸	商品グループ × 仕入先 × 指標	dim_product_group+dim_supplier+S257	商品グループ × 仕入先 × 仕入商品ラベル	原価系	店長	-	🟢 既実装	大	🔴 連携必要 / 🟡 多軸注意	発注システム連携 / 2軸クロス、行列展開コスト	product_group_id×supplier_id×metric	FLOW+FLOW+FLOW	外部×画面	仕入先分析	仕入先別構成	仕入先の集中度/分散リスク把握、調達戦略の見直し（2軸クロス分析）	L1	ラベルマスタ	infomart_order_details.item_name	[外部]detail_list.item_name		date,week,month,quarter,year	日次	shop × date	13M	nightly	hybrid	納品確定後
マッピング_2軸	商品グループ × 仕入先 × 指標	dim_product_group+dim_supplier+S258	商品グループ × 仕入先 × 仕入金額（税抜）	原価系	店長	-	🟢 既実装	大	🔴 連携必要 / 🟡 多軸注意	発注システム連携 / 2軸クロス、行列展開コスト	product_group_id×supplier_id×metric	FLOW+FLOW+FLOW	外部×画面	仕入先分析	仕入先別構成	仕入先の集中度/分散リスク把握、調達戦略の見直し（2軸クロス分析）	L1	SUM月別	infomart_order_details.price	[外部]detail_list.price		date,week,month,quarter,year	日次	shop × date	13M	nightly	hybrid	納品確定後
マッピング_2軸	商品グループ × 仕入先 × 指標	dim_product_group+dim_supplier+S259	商品グループ × 仕入先 × 数量	その他	店長	-	🟢 既実装	大	🔴 連携必要 / 🟡 多軸注意	発注システム連携 / 2軸クロス、行列展開コスト	product_group_id×supplier_id×metric	FLOW+FLOW+FLOW	外部×画面	仕入先分析	仕入先別構成	仕入先の集中度/分散リスク把握、調達戦略の見直し（2軸クロス分析）	L1	SUM月別	infomart_order_details.num	[外部]detail_list.num		date,week,month,quarter,year	日次	shop × date	13M	nightly	hybrid	確定なし
マッピング_2軸	商品グループ × 仕入先 × 指標	dim_product_group+dim_supplier+S502	商品グループ × 仕入先 × 月次実績_FD仕入 計	原価系	店長	-	🟢 既実装	大	🔴 連携必要 / 🟡 多軸注意	発注システム連携 / 2軸クロス、行列展開コスト	product_group_id×supplier_id×metric	FLOW+FLOW+FLOW	外部×画面	仕入先分析	仕入先別構成	仕入先の集中度/分散リスク把握、調達戦略の見直し（2軸クロス分析）	L1	SUMFD月次	-	インフォマート（仕入）		date,week,month,quarter,year	月次	shop × month	36M	nightly + monthly_finalize	hybrid	納品確定後
マッピング_2軸	商品グループ × 仕入先 × 指標	dim_product_group+dim_supplier+S504	商品グループ × 仕入先 × 月次実績_その他経費 計	その他	店長	-	🟢 既実装	大	🔴 連携必要 / 🟡 多軸注意	発注システム連携 / 2軸クロス、行列展開コスト	product_group_id×supplier_id×metric	FLOW+FLOW+FLOW	外部×画面	仕入先分析	仕入先別構成	仕入先の集中度/分散リスク把握、調達戦略の見直し（2軸クロス分析）	L1	SUM経費月次	monthly_costs.value	[入力]monthly_costs.value		date,week,month,quarter,year	月次	shop × month	36M	nightly + monthly_finalize	hybrid	確定なし
マッピング_2軸	商品グループ × 仕入先 × 指標	dim_product_group+dim_supplier+S511	商品グループ × 仕入先 × 月次予算_FD仕入 計	原価系	店長	-	🟢 既実装	大	🔴 連携必要 / 🟡 多軸注意	発注システム連携 / 2軸クロス、行列展開コスト	product_group_id×supplier_id×metric	FLOW+FLOW+FORECAST	外部×画面	仕入先分析	仕入先別構成	仕入先の集中度/分散リスク把握、調達戦略の見直し（2軸クロス分析）	L1	月次予算設定.売上（税抜） × 月次予算設定.FD仕入比率	monthly_budgets.target_sales, monthly_budgets.food_cost_rate	月次予算設定.月次FD仕入		month,quarter,year	月次	shop × month	36M	on_budget_update	batch	予算確定後
マッピング_2軸	商品グループ × 仕入先 × 指標	dim_product_group+dim_supplier+S478	商品グループ × 仕入先 × FD仕入額	原価系	店長	-	🟢 既実装	大	🔴 連携必要 / 🟡 多軸注意	発注システム連携 / 2軸クロス、行列展開コスト	product_group_id×supplier_id×metric	FLOW+FLOW+FLOW	外部×画面	仕入先分析	仕入先別構成	仕入先の集中度/分散リスク把握、調達戦略の見直し（2軸クロス分析）	L1	参照表示	infomart_transactions.total_tax_excluded	[外部]infomart_transactions.total_tax_excluded			オンデマンド	-	-	on_demand	on_demand	納品確定後
マッピング_2軸	商品グループ × 仕入先 × 指標	dim_product_group+dim_supplier+S269	商品グループ × 仕入先 × 年間実績_FD仕入 計	原価系	店長	-	🟢 既実装	大	🔴 連携必要 / 🟡 多軸注意	発注システム連携 / 2軸クロス、行列展開コスト	product_group_id×supplier_id×metric	FLOW+FLOW+FLOW	外部×画面	仕入先分析	仕入先別構成	仕入先の集中度/分散リスク把握、調達戦略の見直し（2軸クロス分析）	L1	SUMFD	infomart_transactions.total_tax_excluded	[外部]infomart_transactions.total_tax_excluded		year	月次	shop × month	60M	nightly + monthly_finalize	batch	納品確定後
