大項目	区分	ID	名称	カテゴリ/種別	ターゲット	互換ディメン	実装ステータス	開発コスト	マッチング制限	制限補足	粒度	期間属性	スコープ	主要目的_大項目	主要目的_中項目	ユースケース	計算レイヤー	演算ロジック_詳細	データソース	依存先指標	weighted_avg_denominator	aggregable_grains	snapshot_grain	snapshot_axes	retention_period	recompute_trigger	compute_mode	freeze_condition
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C45	日 × 週 × 売上（税抜）	売上系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM商品別	head_office_item_sales_logs.sales_excluded	[外部]TITEM.sales_excluded		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	翌日日次確定
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C46	日 × 週 × 売上構成比率	売上系	本部管理者	-	🟢 既実装	中	🟡 加重平均 / 🟡 多軸注意	率指標加重 / 2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	商品÷総売上×100	head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.sales_excluded	ABC分析.売上（税抜）, 当月実績.売上（税抜）	売上(税抜)	date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	翌日日次確定
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C47	日 × 週 × 販売点数	客数系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	客数分析	客数推移	客数の前年比/曜日傾向、集客施策の効果検証（2軸クロス分析）	L1	SUM商品別	head_office_item_sales_logs.quantity	[外部]TITEM.quantity		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C48	日 × 週 × 販売点数構成比率	客数系	本部管理者	-	🟢 既実装	中	🟡 加重平均 / 🟡 多軸注意	率指標加重 / 2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	客数分析	客数推移	客数の前年比/曜日傾向、集客施策の効果検証（2軸クロス分析）	L1	商品数÷総数×100	head_office_item_sales_logs.quantity	ABC分析.販売点数	売上(税抜)	date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C49	日 × 週 × 価格	売上系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	売上÷数量	head_office_item_sales_logs.sales_excluded, head_office_item_sales_logs.quantity	ABC分析.売上（税抜）, ABC分析.販売点数		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C50	日 × 週 × 目標PA人件費率	人件費系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	人件費効率	PA率分析	PA率の店舗/業態比較、人件費効率改善の優先順位（2軸クロス分析）	L1	マスタ参照	monthly_budgets.food_cost_rate（またはlabor_cost_rate）, monthly_budgets.profit	[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）			オンデマンド	-	-	on_demand	on_demand	月次給与確定後
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C100	日 × 週 × FD仕入　計	原価系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	原価管理	FD率分析	FD率の推移把握、ロス削減/原価コントロール優先順位（2軸クロス分析）	L1	SUM	infomart_transactions.total_tax_excluded	[外部]infomart_transactions.total_tax_excluded		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	納品確定後
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C101	日 × 週 × 人件費　計	人件費系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	人件費効率	スタッフ別人件費	スタッフ別の人時生産性評価、教育投資/シフト配置最適化（2軸クロス分析）	L1	SUM	head_office_connected_service_labor_costs_logs.labor_costs	[外部]head_office_connected_service_labor_costs_logs.labor_costs		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C102	日 × 週 × その他経費　計	その他	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM	monthly_costs.value	-		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C103	日 × 週 × ラクミー利用料	その他	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	費目フィルタ	monthly_costs.value	-		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C104	日 × 週 × レジ利用料	その他	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	費目フィルタ	monthly_costs.value	-		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C105	日 × 週 × 借入金返済	その他	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	費目フィルタ	monthly_costs.value	-		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C106	日 × 週 × フード売上ランチ	売上系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM(フードかつ時間フィルタ)	head_office_item_sales_logs.sales_excluded	[外部]TITEM.sales_excluded		date,week,month,quarter,year	日次	shop × date × time_slot × product	13M	nightly	batch	翌日日次確定
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C107	日 × 週 × フード売上ディナー	売上系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM(フードかつ時間フィルタ)	head_office_item_sales_logs.sales_excluded	[外部]TITEM.sales_excluded		date,week,month,quarter,year	日次	shop × date × time_slot × product	13M	nightly	batch	翌日日次確定
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C108	日 × 週 × ドリンク売上ランチ	売上系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM(ドリンクかつ時間フィルタ)	head_office_item_sales_logs.sales_excluded	[外部]TITEM.sales_excluded		date,week,month,quarter,year	日次	shop × date × time_slot × product	13M	nightly	batch	翌日日次確定
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C109	日 × 週 × ドリンク売上ディナー	売上系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM(ドリンクかつ時間フィルタ)	head_office_item_sales_logs.sales_excluded	[外部]TITEM.sales_excluded		date,week,month,quarter,year	日次	shop × date × time_slot × product	13M	nightly	batch	翌日日次確定
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C110	日 × 週 × フード仕入	原価系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	原価管理	FD率分析	FD率の推移把握、ロス削減/原価コントロール優先順位（2軸クロス分析）	L1	SUMフード	infomart_transactions.total_tax_excluded	[外部]infomart_transactions.total_tax_excluded		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	納品確定後
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C111	日 × 週 × ドリンク仕入	原価系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	原価管理	FD率分析	FD率の推移把握、ロス削減/原価コントロール優先順位（2軸クロス分析）	L1	SUMドリンク	infomart_transactions.total_tax_excluded	[外部]infomart_transactions.total_tax_excluded		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	納品確定後
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C112	日 × 週 × 固定人件費	人件費系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	人件費効率	スタッフ別人件費	スタッフ別の人時生産性評価、教育投資/シフト配置最適化（2軸クロス分析）	L1	SUM月給者	head_office_connected_service_labor_costs_logs.labor_costs	[外部]head_office_connected_service_labor_costs_logs.labor_costs		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C113	日 × 週 × PA人件費	人件費系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	人件費効率	PA率分析	PA率の店舗/業態比較、人件費効率改善の優先順位（2軸クロス分析）	L1	SUM年間	head_office_employee_working_records.daily_cost	[外部]head_office_employee_working_records.daily_cost		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C114	日 × 週 × ヘルプ人件費	人件費系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	人件費効率	スタッフ別人件費	スタッフ別の人時生産性評価、教育投資/シフト配置最適化（2軸クロス分析）	L1	help_costs-help_costs_minus	head_office_connected_service_labor_costs_logs.help_costs, head_office_connected_service_labor_costs_logs.help_costs_minus	SUM(紐づく店舗.予実対比.ヘルプ人件費)		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C115	日 × 週 × 地代家賃	その他	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	費目=家賃	monthly_costs.value	-		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C116	日 × 週 × 資材費	その他	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	費目=資材費	monthly_costs.value	-		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C117	日 × 週 × 水道光熱費	その他	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	費目=水道光熱費	monthly_costs.value	-		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C118	日 × 週 × 減価償却費	その他	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	費目=減価償却費	monthly_costs.value	-		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C119	日 × 週 × 販促費	その他	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	費目=販促費	monthly_costs.value	-		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C51	日 × 週 × 総売上	売上系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM	head_office_connected_service_sales_logs.sales_excluded	[外部]ZTOTAL.sales_excluded		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	翌日日次確定
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C52	日 × 週 × フード売上	売上系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUMフード	head_office_item_sales_logs.sales_excluded	[外部]TITEM.sales_excluded		date,week,month,quarter,year	日次	shop × date × product	13M	nightly	batch	翌日日次確定
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C53	日 × 週 × フード売上ランチ	売上系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM(フードかつ時間フィルタ)	head_office_item_sales_logs.sales_excluded	[外部]TITEM.sales_excluded		date,week,month,quarter,year	日次	shop × date × time_slot × product	13M	nightly	batch	翌日日次確定
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C54	日 × 週 × フード売上ディナー	売上系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM(フードかつ時間フィルタ)	head_office_item_sales_logs.sales_excluded	[外部]TITEM.sales_excluded		date,week,month,quarter,year	日次	shop × date × time_slot × product	13M	nightly	batch	翌日日次確定
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C55	日 × 週 × ドリンク売上	売上系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUMドリンク	head_office_item_sales_logs.sales_excluded	[外部]TITEM.sales_excluded		date,week,month,quarter,year	日次	shop × date × product	13M	nightly	batch	翌日日次確定
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C56	日 × 週 × ドリンク売上ランチ	売上系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM(ドリンクかつ時間フィルタ)	head_office_item_sales_logs.sales_excluded	[外部]TITEM.sales_excluded		date,week,month,quarter,year	日次	shop × date × time_slot × product	13M	nightly	batch	翌日日次確定
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C57	日 × 週 × ドリンク売上ディナー	売上系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM(ドリンクかつ時間フィルタ)	head_office_item_sales_logs.sales_excluded	[外部]TITEM.sales_excluded		date,week,month,quarter,year	日次	shop × date × time_slot × product	13M	nightly	batch	翌日日次確定
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C58	日 × 週 × 割引・値引きなど	その他	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM	z_totals.discount	[外部]ZTOTAL.discount		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+C59	日 × 週 × FD仕入	原価系	本部管理者	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	原価管理	FD率分析	FD率の推移把握、ロス削減/原価コントロール優先順位（2軸クロス分析）	L1	SUMFD	infomart_transactions.total_tax_excluded	[外部]infomart_transactions.total_tax_excluded		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	納品確定後
