大項目	区分	ID	名称	カテゴリ/種別	ターゲット	互換ディメン	実装ステータス	開発コスト	マッチング制限	制限補足	粒度	期間属性	スコープ	主要目的_大項目	主要目的_中項目	ユースケース	計算レイヤー	演算ロジック_詳細	データソース	依存先指標	weighted_avg_denominator	aggregable_grains	snapshot_grain	snapshot_axes	retention_period	recompute_trigger	compute_mode	freeze_condition
マッピング_2軸	四半期 × 曜日 × 指標	dim_quarter+dim_weekday+S303	四半期 × 曜日 × 客数	客数系	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	quarter×dow×metric	FLOW+FLOW+FLOW	画面内	客数分析	客数推移	客数の前年比/曜日傾向、集客施策の効果検証（2軸クロス分析）	L1	SUM	head_office_connected_service_sales_logs.customers	[外部]ZTOTAL.customers		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	翌日日次確定
マッピング_2軸	四半期 × 曜日 × 指標	dim_quarter+dim_weekday+S304	四半期 × 曜日 × 売上（税抜）	売上系	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	quarter×dow×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM	head_office_connected_service_sales_logs.sales_excluded	[外部]ZTOTAL.sales_excluded		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	翌日日次確定
マッピング_2軸	四半期 × 曜日 × 指標	dim_quarter+dim_weekday+S307	四半期 × 曜日 × 固定費	その他	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	quarter×dow×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM	monthly_costs.value	-		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	四半期 × 曜日 × 指標	dim_quarter+dim_weekday+S308	四半期 × 曜日 × 支払方法	その他	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	quarter×dow×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	マスタ参照	t_tends.head_office_payment_method_id	[外部]TTEND.head_office_payment_method_id			日次	shop × date	-	nightly	on_demand	確定なし
マッピング_2軸	四半期 × 曜日 × 指標	dim_quarter+dim_weekday+S309	四半期 × 曜日 × 売上（税込）	売上系	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	quarter×dow×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM支払別	head_office_payment_method_sales_logs.sales	[外部]TTEND.sales			日次	shop × date	-	nightly	on_demand	翌日日次確定
マッピング_2軸	四半期 × 曜日 × 指標	dim_quarter+dim_weekday+S311	四半期 × 曜日 × クレジットカード合計売上	売上系	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	quarter×dow×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM(支払種別フィルタ)	head_office_payment_method_sales_logs.sales	[外部]TTEND.sales			日次	shop × date	-	nightly	on_demand	翌日日次確定
マッピング_2軸	四半期 × 曜日 × 指標	dim_quarter+dim_weekday+S312	四半期 × 曜日 × QR決済合計売上	売上系	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	quarter×dow×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM(支払種別フィルタ)	head_office_payment_method_sales_logs.sales	[外部]TTEND.sales			日次	shop × date	-	nightly	on_demand	翌日日次確定
マッピング_2軸	四半期 × 曜日 × 指標	dim_quarter+dim_weekday+S313	四半期 × 曜日 × MUGENファミリーカード合計売上	売上系	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	quarter×dow×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM(支払種別フィルタ)	head_office_payment_method_sales_logs.sales	[外部]TTEND.sales			日次	shop × date	-	nightly	on_demand	翌日日次確定
マッピング_2軸	四半期 × 曜日 × 指標	dim_quarter+dim_weekday+S314	四半期 × 曜日 × 売掛合計売上	売上系	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	quarter×dow×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM(支払種別フィルタ)	head_office_payment_method_sales_logs.sales	[外部]TTEND.sales			日次	shop × date	-	nightly	on_demand	翌日日次確定
マッピング_2軸	四半期 × 曜日 × 指標	dim_quarter+dim_weekday+S315	四半期 × 曜日 × 交通系IC合計売上	売上系	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	quarter×dow×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM(支払種別フィルタ)	head_office_payment_method_sales_logs.sales	[外部]TTEND.sales			日次	shop × date	-	nightly	on_demand	翌日日次確定
