大項目	区分	ID	名称	カテゴリ/種別	ターゲット	互換ディメン	実装ステータス	開発コスト	マッチング制限	制限補足	粒度	期間属性	スコープ	主要目的_大項目	主要目的_中項目	ユースケース	計算レイヤー	演算ロジック_詳細	データソース	依存先指標	weighted_avg_denominator	aggregable_grains	snapshot_grain	snapshot_axes	retention_period	recompute_trigger	compute_mode	freeze_condition
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+S100	日 × 週 × 売上（税抜）	売上系	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	売上分析	店舗別売上	店舗ごとの売上推移を比較し、伸長/落ち込み店舗を早期発見、施策効果検証（2軸クロス分析）	L1	SUM商品別	head_office_item_sales_logs.sales_excluded	[外部]TITEM.sales_excluded		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	翌日日次確定
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+S102	日 × 週 × 販売点数	客数系	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	客数分析	客数推移	客数の前年比/曜日傾向、集客施策の効果検証（2軸クロス分析）	L1	SUM商品別	head_office_item_sales_logs.quantity	[外部]TITEM.quantity		date,week,month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+S112	日 × 週 × フード前月在庫高	その他	店長	-	🟢 既実装	中	🟡 STOCK指標 / 🟡 多軸注意	期末値集計 / 2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+STOCK	画面内	在庫・棚卸	棚卸金額	棚卸金額の月次推移、在庫過剰/欠品リスク管理（2軸クロス分析）	L1	マスタ参照	shop_inventories.amount（棚卸入力）	-		month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+S113	日 × 週 × フード当月仕入	原価系	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	原価管理	FD率分析	FD率の推移把握、ロス削減/原価コントロール優先順位（2軸クロス分析）	L1	SUMフード	infomart_transactions.total_tax_excluded	[外部]infomart_transactions.total_tax_excluded		date,week,month,quarter,year	月次	shop × month	60M	nightly + monthly_finalize	batch	納品確定後
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+S114	日 × 週 × フード当月在庫高	その他	店長	-	🟢 既実装	中	🟡 STOCK指標 / 🟡 多軸注意	期末値集計 / 2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+STOCK	画面内	在庫・棚卸	棚卸金額	棚卸金額の月次推移、在庫過剰/欠品リスク管理（2軸クロス分析）	L1	マスタ参照	shop_inventories.amount（棚卸入力）	-		date,week,month,quarter,year	月次	shop × month	60M	nightly + monthly_finalize	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+S117	日 × 週 × ドリンク前月在庫高	その他	店長	-	🟢 既実装	中	🟡 STOCK指標 / 🟡 多軸注意	期末値集計 / 2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+STOCK	画面内	在庫・棚卸	棚卸金額	棚卸金額の月次推移、在庫過剰/欠品リスク管理（2軸クロス分析）	L1	マスタ参照	shop_inventories.amount（棚卸入力）	-		month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+S118	日 × 週 × ドリンク当月仕入	原価系	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	原価管理	FD率分析	FD率の推移把握、ロス削減/原価コントロール優先順位（2軸クロス分析）	L1	SUMドリンク	infomart_transactions.total_tax_excluded	[外部]infomart_transactions.total_tax_excluded		date,week,month,quarter,year	月次	shop × month	60M	nightly + monthly_finalize	batch	納品確定後
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+S119	日 × 週 × ドリンク当月在庫高	その他	店長	-	🟢 既実装	中	🟡 STOCK指標 / 🟡 多軸注意	期末値集計 / 2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+STOCK	画面内	在庫・棚卸	棚卸金額	棚卸金額の月次推移、在庫過剰/欠品リスク管理（2軸クロス分析）	L1	マスタ参照	shop_inventories.amount（棚卸入力）	-		date,week,month,quarter,year	月次	shop × month	60M	nightly + monthly_finalize	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+S122	日 × 週 × FD前月在庫高	その他	店長	-	🟢 既実装	中	🟡 STOCK指標 / 🟡 多軸注意	期末値集計 / 2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+STOCK	画面内	在庫・棚卸	棚卸金額	棚卸金額の月次推移、在庫過剰/欠品リスク管理（2軸クロス分析）	L1	前月末在庫	shop_inventories.amount（棚卸入力）	-		month,quarter,year	日次	shop × date	13M	nightly	batch	確定なし
マッピング_2軸	日 × 週 × 指標	dim_date+dim_week+S123	日 × 週 × FD当月仕入	原価系	店長	-	🟢 既実装	中	🟡 多軸注意	2軸クロス、行列展開コスト	date×week×metric	FLOW+FLOW+FLOW	画面内	原価管理	FD率分析	FD率の推移把握、ロス削減/原価コントロール優先順位（2軸クロス分析）	L1	SUM月間	infomart_transactions.total_tax_excluded	[外部]infomart_transactions.total_tax_excluded		date,week,month,quarter,year	月次	shop × month	60M	nightly + monthly_finalize	batch	納品確定後
